name_gpu,num_gpu,alexnet,inception3,inception4,resnet152,resnet50,vgg16
RTX 3080,1,7047,412,255,316,875,417
2x RTX 3080,2,12002,687,429,505,1465,589
3x RTX 3090,3,21811,1451,893,667,1180,850
A100 40GB PCIe,1,16487,1222,587,886,2075,1190
2x A100 40GB PCIe,2,33629,2449,1159,1743,4083,2398
4x A100 40GB PCIe,4,65076,4970,2264,3388,8153,4751
8x A100 40GB PCIe,8,129266,9640,4316,6485,15997,10222
RTX A6000,1,10001,742,326,592,1404,728
2x RTX A6000,2,19939,1480,645,1182,2799,1447
4x RTX A6000,4,39047,2943,1275,2330,5585,2842
8x RTX A6000,8,77326,5820,2508,4564,11057,5850
RTX 3090,1,9473,681,365,468,1020,550
2x RTX 3090,2,16113,1100,626,741,1761,814
4x RTX 3090,4,29126,1638,973,980,2783,956
8x RTX 3090,8,33010,2135,1357,1231,3784,974
2x RTX 2080Ti NVLink,2,9177,825,335,513,1446,653
4x RTX 2080Ti NVLink,4,18560,1630,630,972,2803,1318
8x RTX 2080Ti NVLink,8,36797,3282,1248,1916,5529,2530
RTX 2080Ti,1,5297,450,198,297,770,400
2x RTX 2080Ti,2,9224,829,336,514,1443,653
4x RTX 2080Ti,4,17878,1599,633,972,2805,1262
8x RTX 2080Ti,8,35394,3263,1222,1891,5540,2542
2x RTX 8000 NVLink,2,14139,1175,586,876,2033,1166
4x RTX 8000 NVLink,4,27613,2318,1124,1694,3991,2275
8x RTX 8000 NVLink,8,55024,4624,2210,3313,7894,4710
RTX 8000,1,7135,607,301,431,1023,603
2x RTX 8000,2,14150,1175,584,876,2034,1166
4x RTX 8000,4,27640,2316,1122,1688,3977,2268
8x RTX 8000,8,54831,4639,2202,3325,7934,4718
V100 32GB,1,9319,771,357,518,1276,456
8x V100 32GB,8,70869,3414,1449,2301,4677,3759
RTX 2080 SUPER MAX-Q,1,2955,258,128,175,432,221
GTX 1080Ti,1,2914,157,73,110,273,148
RTX 2070 MAX-Q,1,2509,220,107,157,406,190
RTX 2080 MAX-Q,1,2831,238,126,167,423,214
